CIC_AEM_VERS = 2.0
CREATION_DATE  = 2023-03-26T22:43:56.346
ORIGINATOR     = TOLOSAT

META_START

COMMENT days (MJD), sec (UTC), q0: real part, q1, q2, q3

OBJECT_NAME = SAT2
OBJECT_ID = SAT2

REF_FRAME_A = EME2000
REF_FRAME_B = SC_BODY_1
ATTITUDE_DIR = A2B
TIME_SYSTEM = TAI
START_TIME = 2024-01-02T11:59:55.000
STOP_TIME = 2024-01-03T11:59:55.000
ATTITUDE_TYPE = QUATERNION
QUATERNION_TYPE = LAST

META_STOP
60311 43232.0  0.063410  0.011985 -0.000000 0.997916
60311 45672.0 -0.071178 -0.970247  0.000000 0.231417
60311 45682.0 -0.078217 -0.970918  0.000000 0.226277
60311 45692.0 -0.085573 -0.971481  0.000000 0.221140
60311 45702.0 -0.093266 -0.971927  0.000000 0.216008
60311 45712.0 -0.101319 -0.972246  0.000000 0.210882
60311 45722.0 -0.109757 -0.972427  0.000000 0.205764
60311 45732.0 -0.118606 -0.972456  0.000000 0.200653
60311 45742.0 -0.127898 -0.972318  0.000000 0.195552
60311 45752.0 -0.137663 -0.971994  0.000000 0.190462
60311 45762.0 -0.147938 -0.971466  0.000000 0.185385
60311 45772.0 -0.158760 -0.970711  0.000000 0.180321
60311 45782.0 -0.170172 -0.969701  0.000000 0.175274
60311 45792.0 -0.182221 -0.968407  0.000000 0.170245
60311 45802.0 -0.194956 -0.966793  0.000000 0.165236
60311 45812.0 -0.208433 -0.964819  0.000000 0.160251
60311 45822.0 -0.222712 -0.962437  0.000000 0.155291
60311 45832.0 -0.237860 -0.959591  0.000000 0.150360
60311 45842.0 -0.253948 -0.956217  0.000000 0.145462
60311 45852.0 -0.271055 -0.952240  0.000000 0.140600
60311 45862.0 -0.289266 -0.947570  0.000000 0.135780
60311 45872.0 -0.308672 -0.942104  0.000000 0.131005
60311 45882.0 -0.329370 -0.935718  0.000000 0.126284
60311 45892.0 -0.351465 -0.928268  0.000000 0.121621
60311 45902.0 -0.375064 -0.919583  0.000000 0.117024
60311 45912.0 -0.400277 -0.909462  0.000000 0.112503
60311 45922.0 -0.427213 -0.897670  0.000000 0.108067
60311 45932.0 -0.455974 -0.883928  0.000000 0.103728
60311 45942.0 -0.486650 -0.867912  0.000000 0.099500
60311 45952.0 -0.519305 -0.849248  0.000000 0.095396
60311 45962.0 -0.553964 -0.827504  0.000000 0.091435
60311 45972.0 -0.590594 -0.802196  0.000000 0.087637
60311 45982.0 -0.629080 -0.772786  0.000000 0.084024
60311 45992.0 -0.669193 -0.738702  0.000000 0.080621
60311 46002.0 -0.710561 -0.699359  0.000000 0.077457
60311 46012.0 -0.752634 -0.654204  0.000000 0.074562
60311 46022.0 -0.794658 -0.602776  0.000000 0.071969
60311 46032.0 -0.835672 -0.544787  0.000000 0.069713
60311 46042.0 -0.874525 -0.480215  0.000000 0.067827
60311 46052.0 -0.909943 -0.409393  0.000000 0.066343
60311 46062.0 -0.940638 -0.333074  0.000000 0.065289
60311 46072.0 -0.965449 -0.252436  0.000000 0.064686
60311 46082.0 -0.983496 -0.169027  0.000000 0.064546
60311 46092.0 -0.994299 -0.084621  0.000000 0.064872
60311 46102.0 -0.997842 -0.001044  0.000000 0.065658
60311 46112.0 -0.994546  0.080022  0.000000 0.066888
60311 46122.0 -0.985188  0.157186  0.000000 0.068536
60311 46132.0 -0.970763  0.229431  0.000000 0.070574
60311 46142.0 -0.952353  0.296139  0.000000 0.072969
60311 46152.0 -0.931016  0.357043  0.000000 0.075687
60311 46162.0 -0.907704  0.412165  0.000000 0.078694
60311 46172.0 -0.883226  0.461730  0.000000 0.081957
60311 46182.0 -0.858233  0.506097  0.000000 0.085447
60311 46192.0 -0.833229  0.545696  0.000000 0.089137
60311 46202.0 -0.808585  0.580982  0.000000 0.093003
60311 46212.0 -0.784564  0.612409  0.000000 0.097024
60311 46222.0 -0.761343  0.640406  0.000000 0.101179
60311 46232.0 -0.739031  0.665367  0.000000 0.105454
60311 46242.0 -0.717687  0.687650  0.000000 0.109833
60311 46252.0 -0.697334  0.707573  0.000000 0.114305
60311 46262.0 -0.677968  0.725418  0.000000 0.118857
60311 46272.0 -0.659570  0.741431  0.000000 0.123481
60311 46282.0 -0.642104  0.755828  0.000000 0.128168
60311 46292.0 -0.625532  0.768794  0.000000 0.132912
60311 46302.0 -0.609807  0.780495  0.000000 0.137705
60311 46312.0 -0.594885  0.791071  0.000000 0.142543
60311 46322.0 -0.580717  0.800647  0.000000 0.147420
60311 46332.0 -0.567259  0.809329  0.000000 0.152331
60311 46342.0 -0.554464  0.817211  0.000000 0.157274
60311 46352.0 -0.542292  0.824376  0.000000 0.162245
60311 46362.0 -0.530701  0.830896  0.000000 0.167240
60311 46372.0 -0.519653  0.836832  0.000000 0.172257
60311 46382.0 -0.509114  0.842241  0.000000 0.177294
60311 46392.0 -0.499050  0.847171  0.000000 0.182348
60311 46402.0 -0.489429  0.851665  0.000000 0.187417
60311 46412.0 -0.480224  0.855762  0.000000 0.192500
60311 46422.0 -0.471407  0.859495  0.000000 0.197594
60311 46432.0 -0.462953  0.862895  0.000000 0.202699
60311 46442.0 -0.454841  0.865987  0.000000 0.207813
60311 46452.0 -0.447048  0.868796  0.000000 0.212935
60311 46462.0 -0.439555  0.871344  0.000000 0.218063
60311 46472.0 -0.432343  0.873649  0.000000 0.223197
60311 46482.0 -0.425395  0.875729  0.000000 0.228335
60311 46492.0 -0.418697  0.877600  0.000000 0.233478
60311 46502.0 -0.412232  0.879275  0.000000 0.238622
60311 46512.0 -0.405988  0.880767  0.000000 0.243769
60311 46522.0 -0.399951  0.882088  0.000000 0.248918
60311 46532.0 -0.394111  0.883248  0.000000 0.254067
60311 46542.0 -0.388455  0.884257  0.000000 0.259215
60311 46552.0 -0.382975  0.885123  0.000000 0.264364
60311 46562.0 -0.377660  0.885854  0.000000 0.269511
60311 46572.0 -0.372502  0.886457  0.000000 0.274656
60311 46582.0 -0.367491  0.886940  0.000000 0.279799
60311 46592.0 -0.362622  0.887308  0.000000 0.284939
60311 46602.0 -0.357885  0.887566  0.000000 0.290077
